"source","target","sign","weight","equation","edge_mode","inertia","target_class","causal_mechanism","evidence_source","evidence_strength","bidirectional_pair_id","status","review_notes"
"gdp","unemployment_rate","negative","-0.40","","","3","fast","Higher output tends to reduce joblessness in the short run","OECD macro labor relationship","high","","rejected","legacy_import_existing_relationship; strict_purge_2026_03_08"
"nominal_minimum_wage","unemployment_rate","positive","0.10","","","4","fast","Fast wage floor hikes can raise entry level unemployment risk","OECD minimum wage literature","medium","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"central_bank_policy_rate","inflation_consumer_prices","negative","-0.22","","","3","fast","Higher policy rates dampen demand-led price pressure","ECB monetary transmission","high","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"nominal_minimum_wage","inflation_consumer_prices","positive","0.12","","","3","fast","Wage cost increases can pass into final prices","OECD wage-price dynamics","medium","","rejected","batch1_labor_prices; strict_purge_2026_03_08"
"unemployment_rate","gini_coefficient","positive","0.24","","","8","slow","Labor market slack raises income dispersion risk","OECD inequality and labor studies","high","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"tax_revenue","gini_coefficient","negative","-0.16","","","9","slow","Higher fiscal capacity can support redistribution","IMF fiscal redistribution evidence","medium","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"tertiary_education_attainment","gini_coefficient","negative","-0.14","","","9","slow","More higher education access can narrow lifetime wage gaps","OECD education inequality evidence","medium","","rejected","batch3_poverty_inequality; strict_purge_2026_03_08"
"public_expenditure_on_health","infant_mortality_rate","negative","-0.20","","","9","slow","Higher public health spending improves maternal and neonatal care","WHO health systems evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"physicians_per_1000_people","infant_mortality_rate","negative","-0.18","","","8","slow","Greater doctor density improves early-life outcomes","OECD health workforce evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"poverty_headcount_ratio","infant_mortality_rate","positive","0.15","","","9","slow","Poverty worsens prenatal and infant health outcomes","UNICEF poverty-health evidence","high","","rejected","batch4_distribution_unblock; strict_purge_2026_03_08"
"public_expenditure_on_health","life_expectancy_at_birth","positive","0.18","","","9","slow","Health investment supports longer average lifespan","WHO expenditure-outcomes evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"air_pollution_pm25","life_expectancy_at_birth","negative","-0.16","","","9","slow","Particulate pollution reduces long-run life expectancy","WHO air quality burden evidence","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"infant_mortality_rate","life_expectancy_at_birth","negative","-0.12","","","10","slow","Higher infant mortality mechanically lowers average lifespan","Demographic identity logic","high","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"poverty_headcount_ratio","intentional_homicide_rate","positive","0.14","","","8","slow","Material deprivation increases violent crime risk in many settings","UNODC social determinants evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"unemployment_rate","intentional_homicide_rate","positive","0.10","","","8","slow","Persistent unemployment can increase serious crime pressures","OECD crime-labor evidence","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"incarceration_rate","intentional_homicide_rate","negative","-0.08","","","8","slow","Deterrence and incapacitation can reduce severe violence","Criminology deterrence literature","low","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"public_expenditure_on_education","adult_literacy_rate","positive","0.16","","","9","slow","Sustained education spending improves literacy outcomes","UNESCO education finance evidence","high","","rejected","batch5_education_humancapital; strict_purge_2026_03_08"
"tertiary_education_attainment","adult_literacy_rate","positive","0.10","","","9","slow","Higher attainment ecosystems correlate with stronger foundational skills","OECD education system evidence","medium","","rejected","batch5_education_humancapital; strict_purge_2026_03_08"
"poverty_headcount_ratio","adult_literacy_rate","negative","-0.10","","","9","slow","Poverty limits learning access and retention","UNESCO equity evidence","medium","","rejected","batch5_education_humancapital; strict_purge_2026_03_08"
"renewable_energy_consumption","co2_emissions_per_capita","negative","-0.24","","","6","medium","Clean energy substitution lowers per-capita emissions","IEA energy mix emissions evidence","high","","rejected","batch2_activate_dormant; strict_purge_2026_03_08"
"gdp","co2_emissions_per_capita","positive","0.16","","","5","medium","Higher activity can raise emissions absent decoupling","World Bank growth-emissions relationship","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
"air_pollution_pm25","co2_emissions_per_capita","positive","0.08","","","6","medium","Fossil combustion jointly raises air pollutants and carbon output","EEA emissions source overlap","medium","","rejected","batch6_full_closeout; strict_purge_2026_03_08"
